Price,Close,High,Low,Open,Volume
Ticker,035720.KS,035720.KS,035720.KS,035720.KS,035720.KS
Date,,,,,
2025-01-02,37393.53515625,38541.80125584112,36944.21363901869,38441.95202978972,1391090
2025-01-03,37992.62890625,39190.81956820795,37393.53357527102,37393.53357527102,1971546
2025-01-06,39090.97265625,39190.82188397989,37743.00808189655,37743.00808189655,1459048
2025-01-07,38591.7265625,39839.84191057568,38491.877334653946,39340.595771345405,1438838
2025-01-08,37343.609375,38941.19694184492,37143.91092914439,38242.25238135027,2887696
2025-01-09,37143.91015625,37792.930091775874,37143.91015625,37393.53320837534,2219066
2025-01-10,36494.890625,37343.60901162791,36345.116792065666,37143.91056771546,2240282
2025-01-13,36444.96484375,36844.36171875,36145.4171875,36145.4171875,1170255
2025-01-14,36794.4375,36894.286719810036,36295.19140094979,36594.739060379914,1087274
2025-01-15,36944.21484375,38092.48098078547,36444.96869721284,36894.29022909628,2186274
2025-01-16,36844.36328125,37792.93089960196,36644.66483528116,37343.60939617208,1271977
2025-01-17,36345.1171875,36894.2879142342,36345.1171875,36894.2879142342,1135029
2025-01-20,36395.04296875,36644.66603437928,35746.022998113855,36345.11835562414,1356111
2025-01-21,36395.04296875,36944.21371313443,36095.495289994855,36395.04296875,1166887
2025-01-22,36245.26953125,36994.13873644111,36095.49569021178,36744.51566804408,1154547
2025-01-23,35696.09765625,36444.96683784965,35696.09765625,36395.042225743004,1220022
2025-01-24,35696.09765625,36295.19300152972,35646.173044143354,35845.87149256993,1076274
2025-01-31,38292.17578125,38941.19570974576,36045.56833645698,36045.56833645698,6846406
2025-02-03,41736.9765625,42385.9965329695,37693.0829003439,38292.17825770036,14720792
2025-02-04,40838.33203125,43084.9395390816,40139.38747325794,42535.76881494499,12331280
2025-02-05,43134.86328125,43484.33555320457,40938.18042896412,41237.728090639466,10732661
2025-02-06,45231.69921875,45431.39767004691,43434.41315707781,43933.659285320085,9121099
2025-02-07,44432.90625,45181.77545646067,43484.338588483144,45131.85084269663,5102434
2025-02-10,42435.921875,45930.64485294117,42236.22341911765,44432.906433823526,6162748
2025-02-11,42785.390625,43384.48594296966,42186.29530703034,43134.86289381563,3387582
2025-02-12,41936.67578125,42685.54499162947,41337.58041294643,42685.54499162947,2941517
2025-02-13,40139.38671875,43035.01411885883,39640.14061528296,42286.14496365827,8123275
